iter	Passed	Remaining
401	16467	32689
402	16511	32653
403	16550	32608
404	16587	32561
405	16627	32517
406	16665	32470
407	16703	32424
408	16740	32376
409	16779	32331
410	16819	32289
411	16861	32250
412	16903	32211
413	16943	32168
414	16981	32120
415	17017	32072
416	17056	32026
417	17102	31995
418	17142	31952
419	17183	31912
420	17218	31860
421	17258	31817
422	17289	31759
423	17333	31722
424	17373	31681
425	17417	31646
426	17453	31596
427	17496	31559
428	17537	31517
429	17575	31471
430	17614	31427
431	17649	31377
432	17691	31338
433	17728	31290
434	17767	31247
435	17806	31202
436	17842	31153
437	17882	31110
438	17922	31068
439	17958	31019
440	17998	30977
441	18039	30936
442	18078	30893
443	18118	30851
444	18159	30810
445	18205	30778
446	18246	30736
447	18284	30691
448	18320	30642
449	18360	30601
450	18398	30556
451	18434	30506
452	18472	30461
453	18510	30415
454	18549	30372
455	18587	30326
456	18628	30286
457	18667	30243
458	18704	30195
459	18740	30147
460	18783	30110
461	18821	30065
462	18862	30025
463	18899	29978
464	18938	29934
465	18975	29888
466	19011	29841
467	19048	29794
468	19083	29744
469	19119	29695
470	19156	29650
471	19195	29607
472	19238	29568
473	19272	29519
474	19309	29471
475	19345	29424
476	19386	29383
477	19423	29338
478	19460	29293
479	19498	29247
480	19542	29212
481	19580	29167
482	19622	29128
483	19659	29082
484	19697	29039
485	19739	28999
486	19779	28958
487	19813	28908
488	19849	28860
489	19889	28818
490	19925	28772
491	19961	28724
492	19999	28680
493	20043	28644
494	20084	28605
495	20128	28569
496	20176	28538
497	20213	28493
498	20253	28452
499	20294	28412
500	20332	28367
501	20369	28323
502	20406	28277
503	20446	28235
504	20482	28188
505	20521	28145
506	20558	28100
507	20600	28061
508	20638	28017
509	20680	27979
510	20721	27940
511	20760	27897
512	20797	27852
513	20836	27808
514	20875	27765
515	20909	27717
516	20951	27678
517	20990	27636
518	21025	27588
519	21064	27546
520	21105	27506
521	21144	27462
522	21182	27419
523	21223	27379
524	21264	27340
525	21304	27298
526	21346	27260
527	21383	27215
528	21421	27171
529	21459	27128
530	21500	27087
531	21541	27047
532	21577	27001
533	21612	26954
534	21654	26916
535	21692	26873
536	21731	26830
537	21769	26787
538	21807	26742
539	21849	26704
540	21885	26658
541	21922	26614
542	21960	26570
543	22002	26532
544	22040	26489
545	22076	26443
546	22117	26403
547	22156	26361
548	22196	26320
549	22234	26277
550	22273	26235
551	22311	26191
552	22354	26153
553	22390	26108
554	22431	26069
555	22469	26025
556	22510	25986
557	22548	25943
558	22590	25904
559	22630	25862
560	22666	25817
561	22700	25770
562	22739	25728
563	22779	25687
564	22819	25647
565	22863	25610
566	22904	25570
567	22946	25531
568	22985	25489
569	23023	25446
570	23064	25407
571	23103	25365
572	23142	25323
573	23184	25284
574	23229	25249
575	23274	25214
576	23313	25172
577	23350	25128
578	23394	25091
579	23435	25051
580	23479	25015
581	23517	24972
582	23558	24932
583	23598	24891
584	23637	24849
585	23675	24807
586	23714	24765
587	23756	24726
588	23798	24687
589	23837	24645
590	23876	24603
591	23915	24561
592	23956	24522
593	23996	24480
594	24036	24440
595	24077	24400
596	24119	24361
597	24161	24322
598	24205	24286
599	24251	24251
600	24299	24219
601	24347	24186
602	24393	24150
603	24436	24112
604	24485	24080
605	24532	24046
606	24571	24004
607	24612	23964
608	24655	23927
609	24692	23882
610	24729	23839
611	24764	23793
612	24805	23753
613	24847	23714
614	24890	23676
615	24940	23644
616	24996	23619
617	25051	23592
618	25104	23563
619	25148	23526
620	25191	23487
621	25234	23449
622	25277	23411
623	25316	23369
624	25360	23331
625	25401	23291
626	25448	23256
627	25487	23214
628	25530	23175
629	25573	23138
630	25614	23097
631	25652	23055
632	25688	23010
633	25725	22965
634	25765	22925
635	25800	22879
636	25834	22833
637	25872	22790
638	25912	22749
639	25951	22707
640	25986	22661
641	26025	22620
642	26071	22584
643	26114	22545
644	26153	22503
645	26191	22461
646	26231	22420
647	26272	22380
648	26309	22336
649	26348	22295
650	26383	22249
651	26418	22204
652	26457	22162
653	26498	22122
654	26542	22084
655	26584	22045
656	26625	22005
657	26661	21961
658	26701	21920
659	26739	21877
660	26778	21835
661	26818	21795
662	26857	21753
663	26894	21709
664	26933	21668
665	26976	21630
666	27012	21585
667	27052	21544
668	27095	21506
669	27138	21467
670	27181	21429
671	27220	21387
672	27256	21343
673	27294	21300
674	27329	21256
675	27371	21216
676	27409	21174
677	27445	21130
678	27479	21085
679	27520	21044
680	27561	21005
681	27606	20968
682	27648	20928
683	27687	20886
684	27725	20844
685	27759	20799
686	27795	20755
687	27834	20714
688	27873	20672
689	27911	20630
690	27954	20591
691	27999	20554
692	28040	20514
693	28078	20471
694	28117	20430
695	28154	20387
696	28191	20344
697	28229	20302
698	28278	20268
699	28319	20228
700	28358	20186
701	28397	20145
702	28437	20104
703	28473	20060
704	28511	20018
705	28555	19980
706	28591	19937
707	28630	19895
708	28671	19855
709	28707	19812
710	28748	19772
711	28789	19732
712	28824	19688
713	28861	19644
714	28899	19602
715	28935	19559
716	28973	19517
717	29012	19476
718	29054	19437
719	29096	19397
720	29134	19355
721	29170	19312
722	29212	19272
723	29250	19230
724	29290	19190
725	29325	19146
726	29364	19105
727	29403	19063
728	29446	19025
729	29485	18983
730	29530	18946
731	29569	18904
732	29610	18864
733	29648	18823
734	29693	18785
735	29735	18746
736	29775	18705
737	29816	18665
738	29856	18625
739	29895	18583
740	29936	18543
741	29981	18505
742	30022	18465
743	30068	18429
744	30116	18393
745	30164	18357
746	30209	18320
747	30256	18283
748	30310	18251
749	30359	18215
750	30403	18177
751	30495	18167
752	30544	18132
753	30587	18092
754	30625	18051
755	30670	18012
756	30717	17976
757	30782	17949
758	30836	17916
759	30882	17879
760	30929	17842
761	30969	17801
762	31009	17760
763	31058	17724
764	31102	17685
765	31141	17644
766	31194	17610
767	31231	17567
768	31271	17526
769	31308	17484
770	31349	17443
771	31391	17403
772	31429	17361
773	31467	17319
774	31509	17279
775	31552	17239
776	31591	17198
777	31631	17157
778	31670	17115
779	31707	17073
780	31747	17032
781	31783	16988
782	31823	16948
783	31863	16907
784	31898	16863
785	31942	16824
786	31980	16782
787	32021	16742
788	32055	16698
789	32094	16656
790	32134	16615
791	32170	16572
792	32208	16530
793	32252	16491
794	32292	16450
795	32332	16410
796	32372	16369
797	32418	16331
798	32459	16290
799	32494	16247
800	32533	16205
801	32568	16162
802	32607	16121
803	32647	16080
804	32685	16038
805	32726	15997
806	32765	15956
807	32804	15915
808	32842	15873
809	32882	15832
810	32925	15793
811	32972	15755
812	33015	15715
813	33060	15677
814	33116	15643
815	33167	15608
816	33218	15572
817	33267	15535
818	33314	15498
819	33363	15460
820	33422	15428
821	33491	15401
822	33547	15367
823	33599	15331
824	33652	15296
825	33697	15257
826	33743	15219
827	33792	15182
828	33847	15147
829	33892	15108
830	33934	15068
831	33975	15027
832	34021	14989
833	34069	14951
834	34111	14911
835	34153	14870
836	34197	14831
837	34244	14793
838	34291	14754
839	34345	14719
840	34399	14684
841	34442	14644
842	34487	14605
843	34529	14564
844	34573	14524
845	34611	14482
846	34656	14443
847	34700	14404
848	34739	14362
849	34778	14320
850	34812	14276
851	34848	14233
852	34888	14192
853	34925	14150
854	34968	14110
855	35016	14072
856	35062	14033
857	35107	13993
858	35157	13956
859	35203	13917
860	35247	13878
861	35288	13836
862	35331	13796
863	35372	13756
864	35428	13720
865	35476	13682
866	35533	13647
867	35582	13610
868	35629	13571
869	35670	13530
870	35711	13489
871	35756	13449
872	35800	13409
873	35844	13369
874	35888	13330
875	35930	13289
876	35977	13250
877	36025	13212
878	36073	13173
879	36122	13135
880	36165	13095
881	36214	13057
882	36262	13018
883	36308	12979
884	36360	12941
885	36405	12902
886	36450	12862
887	36495	12822
888	36538	12782
889	36582	12742
890	36621	12700
891	36659	12658
892	36703	12618
893	36757	12581
894	36799	12540
895	36841	12499
896	36878	12457
897	36917	12415
898	36956	12373
899	36995	12331
900	37031	12289
901	37071	12247
902	37109	12205
903	37149	12163
904	37187	12122
905	37227	12080
906	37264	12038
907	37307	11997
908	37349	11956
909	37395	11917
910	37439	11877
911	37485	11837
912	37528	11796
913	37570	11756
914	37610	11714
915	37647	11672
916	37687	11630
917	37727	11589
918	37771	11549
919	37808	11506
920	37851	11466
921	37891	11424
922	37931	11383
923	37971	11342
924	38008	11299
925	38045	11257
926	38082	11215
927	38121	11173
928	38162	11132
929	38199	11090
930	38240	11049
931	38282	11008
932	38324	10967
933	38365	10926
934	38404	10884
935	38442	10842
936	38483	10801
937	38530	10762
938	38576	10722
939	38617	10681
940	38659	10640
941	38700	10599
942	38740	10558
943	38777	10516
944	38822	10475
945	38859	10433
946	38898	10392
947	38935	10350
948	38973	10307
949	39016	10267
950	39052	10225
951	39092	10183
952	39128	10141
953	39168	10099
954	39212	10059
955	39251	10018
956	39291	9976
957	39333	9936
958	39375	9895
959	39417	9854
960	39460	9813
961	39508	9774
962	39551	9733
963	39591	9692
964	39636	9652
965	39680	9612
966	39725	9571
967	39778	9533
968	39822	9493
969	39870	9453
970	39918	9414
971	39964	9374
972	40015	9335
973	40071	9297
974	40116	9257
975	40154	9215
976	40194	9174
977	40235	9133
978	40278	9092
979	40323	9052
980	40375	9013
981	40424	8973
982	40469	8933
983	40517	8893
984	40560	8853
985	40604	8812
986	40650	8772
987	40698	8732
988	40745	8692
989	40799	8654
990	40847	8614
991	40894	8574
992	40933	8533
993	40975	8491
994	41015	8450
995	41064	8410
996	41106	8369
997	41145	8328
998	41184	8286
999	41227	8245
1000	41271	8204
1001	41320	8165
1002	41372	8125
1003	41418	8085
1004	41460	8044
1005	41501	8003
1006	41542	7961
1007	41587	7921
1008	41633	7881
1009	41681	7841
1010	41733	7801
1011	41787	7762
1012	41835	7722
1013	41879	7682
1014	41923	7641
1015	41970	7600
1016	42014	7560
1017	42061	7519
1018	42112	7480
1019	42152	7438
1020	42191	7396
1021	42232	7355
1022	42274	7314
1023	42321	7273
1024	42365	7233
1025	42406	7191
1026	42457	7152
1027	42497	7110
1028	42541	7069
1029	42581	7027
1030	42621	6986
1031	42663	6945
1032	42704	6903
1033	42745	6862
1034	42790	6821
1035	42833	6780
1036	42871	6738
1037	42913	6697
1038	42956	6656
1039	42996	6614
1040	43043	6574
1041	43092	6534
1042	43131	6492
1043	43176	6451
1044	43227	6411
1045	43280	6372
1046	43329	6331
1047	43382	6292
1048	43431	6251
1049	43485	6212
1050	43528	6171
1051	43573	6130
1052	43615	6088
1053	43660	6047
1054	43706	6007
1055	43753	5966
1056	43800	5925
1057	43845	5884
1058	43891	5843
1059	43936	5802
1060	43981	5761
1061	44024	5720
1062	44069	5679
1063	44116	5638
1064	44162	5598
1065	44210	5557
1066	44252	5515
1067	44303	5475
1068	44360	5436
1069	44400	5394
1070	44441	5352
1071	44485	5311
1072	44531	5270
1073	44568	5228
1074	44617	5188
1075	44666	5147
1076	44718	5107
1077	44760	5065
1078	44807	5024
1079	44857	4984
1080	44906	4943
1081	44964	4903
1082	45015	4863
1083	45065	4822
1084	45119	4782
1085	45172	4741
1086	45214	4700
1087	45255	4658
1088	45298	4617
1089	45337	4575
1090	45382	4534
1091	45431	4493
1092	45480	4452
1093	45521	4410
1094	45566	4369
1095	45610	4327
1096	45658	4287
1097	45700	4245
1098	45739	4203
1099	45782	4162
1100	45827	4120
1101	45872	4079
1102	45917	4038
1103	45960	3996
1104	46007	3955
1105	46044	3913
1106	46087	3871
1107	46126	3830
1108	46168	3788
1109	46210	3746
1110	46255	3705
1111	46299	3664
1112	46343	3622
1113	46390	3581
1114	46429	3539
1115	46470	3497
1116	46511	3456
1117	46548	3414
1118	46589	3372
1119	46638	3331
1120	46677	3289
1121	46718	3247
1122	46759	3206
1123	46802	3164
1124	46840	3122
1125	46883	3081
1126	46923	3039
1127	46963	2997
1128	47011	2956
1129	47050	2914
1130	47092	2873
1131	47132	2831
1132	47173	2789
1133	47220	2748
1134	47259	2706
1135	47304	2665
1136	47345	2623
1137	47384	2581
1138	47430	2540
1139	47468	2498
1140	47510	2456
1141	47549	2414
1142	47588	2373
1143	47630	2331
1144	47672	2289
1145	47717	2248
1146	47759	2206
1147	47804	2165
1148	47848	2123
1149	47886	2082
1150	47928	2040
1151	47968	1998
1152	48013	1957
1153	48051	1915
1154	48099	1873
1155	48140	1832
1156	48181	1790
1157	48225	1749
1158	48264	1707
1159	48301	1665
1160	48347	1624
1161	48390	1582
1162	48436	1540
1163	48483	1499
1164	48523	1457
1165	48564	1416
1166	48607	1374
1167	48647	1332
1168	48687	1291
1169	48727	1249
1170	48771	1207
1171	48814	1166
1172	48853	1124
1173	48892	1082
1174	48933	1041
1175	48971	999
1176	49009	957
1177	49053	916
1178	49093	874
1179	49140	832
1180	49182	791
1181	49220	749
1182	49263	707
1183	49317	666
1184	49357	624
1185	49409	583
1186	49472	541
1187	49524	500
1188	49574	458
1189	49627	417
1190	49677	375
1191	49723	333
1192	49766	292
1193	49811	250
1194	49858	208
1195	49899	166
1196	49942	125
1197	49989	83
1198	50033	41
1199	50082	0
