iter	Logloss
0	0.6844426268
1	0.676330646
2	0.6687578164
3	0.6616289445
4	0.6555658413
5	0.6496544772
6	0.6439965648
7	0.6384414016
8	0.6335354189
9	0.6290839845
10	0.6248616061
11	0.6208034955
12	0.6165245016
13	0.612558969
14	0.609164692
15	0.6058735949
16	0.6028946444
17	0.6000268508
18	0.5972819981
19	0.5943955471
20	0.5919074363
21	0.5895427087
22	0.5872135865
23	0.5848894536
24	0.5827316815
25	0.5805980004
26	0.5784061296
27	0.5766469013
28	0.5748368106
29	0.5731366156
30	0.5714497918
31	0.5696568698
32	0.5680642691
33	0.5665471079
34	0.5651079036
35	0.5638099741
36	0.5625458794
37	0.5612295454
38	0.5601205394
39	0.5589154485
40	0.5578075006
41	0.5568478692
42	0.555807138
43	0.5546362283
44	0.5536948331
45	0.5527094529
46	0.551852359
47	0.5510210258
48	0.5499793283
49	0.5490200394
50	0.5482527872
51	0.5473777516
52	0.5466619077
53	0.5459515779
54	0.545323857
55	0.5445569153
56	0.543771717
57	0.5430969434
58	0.5424777676
59	0.5418864024
60	0.5412776446
61	0.540726923
62	0.5402286929
63	0.5397093697
64	0.5392174463
65	0.5385846458
66	0.5380683568
67	0.5376436771
68	0.5371557789
69	0.5367480443
70	0.5362151997
71	0.5358073539
72	0.5354318015
73	0.5349520465
74	0.5345376855
75	0.5341553133
76	0.5337151386
77	0.533302807
78	0.5329246523
79	0.5325376642
80	0.5322361406
81	0.5318593893
82	0.531498007
83	0.5311935106
84	0.5309133692
85	0.5306418493
86	0.5303109056
87	0.5300057895
88	0.5296185052
89	0.5292655345
90	0.5289413878
91	0.5286607364
92	0.5283727186
93	0.5281456659
94	0.5278869416
95	0.5276034585
96	0.527384558
97	0.5270497931
98	0.5267871145
99	0.5265706772
100	0.5263605561
101	0.5261394097
102	0.5259003797
103	0.5256439347
104	0.5253409181
105	0.5250945599
106	0.5249154857
107	0.5246195279
108	0.5243922727
109	0.5241144302
110	0.5239348714
111	0.5237338166
112	0.5235333738
113	0.5233675507
114	0.5231542482
115	0.5229150218
116	0.522735544
117	0.5225461545
118	0.5223425987
119	0.522130399
120	0.5219767002
121	0.5218103662
122	0.5216334737
123	0.5214931517
124	0.5212866602
125	0.5210980465
126	0.5209331553
127	0.5207402558
128	0.5205829169
129	0.5204056411
130	0.5201937869
131	0.5200255219
132	0.5198743003
133	0.5197034501
134	0.5195851817
135	0.5194887801
136	0.5193355173
137	0.5192058427
138	0.5190874979
139	0.5189287632
140	0.5187862714
141	0.5186188112
142	0.5184303186
143	0.518296664
144	0.5181798821
145	0.5180316603
146	0.5178826839
147	0.517792323
148	0.5176358465
149	0.517529773
150	0.5173344401
151	0.5172188886
152	0.5171126991
153	0.516943928
154	0.516796864
155	0.5166629744
156	0.5165271947
157	0.5164197134
158	0.5163201735
159	0.5162021135
160	0.5160853576
161	0.5159892686
162	0.5159035691
163	0.5157561484
164	0.515582186
165	0.5154945404
166	0.5153842449
167	0.5152586371
168	0.515109729
169	0.5149711485
170	0.5148835844
171	0.5147503819
172	0.5146423763
173	0.5145096378
174	0.5144406343
175	0.5143088035
176	0.5142481256
177	0.5141603861
178	0.5140376489
179	0.5138775345
180	0.5137865366
181	0.5136421842
182	0.5135340027
183	0.5134128427
184	0.5132860475
185	0.5132247755
186	0.5131373237
187	0.5130393213
188	0.512960241
189	0.5128581368
190	0.5127716255
191	0.5126641235
192	0.512550658
193	0.5124061736
194	0.512326868
195	0.5122143691
196	0.5121528862
197	0.5120512905
198	0.5119256817
199	0.5118523445
200	0.5117852233
201	0.5117236822
202	0.5116248262
203	0.5115536077
204	0.5114766964
205	0.5113884527
206	0.5113298245
207	0.5112484334
208	0.5111152158
209	0.511054942
210	0.5109244888
211	0.5108300898
212	0.5107619879
213	0.5106755452
214	0.510585515
215	0.5105114178
216	0.510387482
217	0.5102941643
218	0.5102261356
219	0.5101444106
220	0.5100474126
221	0.5099865104
222	0.5099051398
223	0.509826918
224	0.5097274423
225	0.5096480767
226	0.5095349321
227	0.5094681671
228	0.5093972083
229	0.5093367988
230	0.5092321399
231	0.5091376644
232	0.50907955
233	0.5090219618
234	0.5089550138
235	0.5089037627
236	0.5088120346
237	0.5087032445
238	0.508633027
239	0.5085468346
240	0.5084801657
241	0.5084088758
242	0.5083063431
243	0.508203646
244	0.5081486968
245	0.5080608611
246	0.5080113092
247	0.5079576229
248	0.5078736734
249	0.5077812208
250	0.5076912181
251	0.5076312779
252	0.507568272
253	0.5074959099
254	0.5074253493
255	0.5073664413
256	0.5073124565
257	0.5072339912
258	0.507170754
259	0.507073014
260	0.5070181639
261	0.506922967
262	0.5068783028
263	0.506801007
264	0.5067476373
265	0.5066820333
266	0.5066502983
267	0.5065980889
268	0.5065226504
269	0.5064916324
270	0.506441572
271	0.5063902333
272	0.506301938
273	0.5062373039
274	0.5061583234
275	0.5060925761
276	0.5060386379
277	0.5060046501
278	0.5059614624
279	0.5059156677
280	0.5058763626
281	0.5058256339
282	0.5057741682
283	0.5057263668
284	0.5056700565
285	0.5056149619
286	0.5055591924
287	0.5054840395
288	0.5054165054
289	0.5053477121
290	0.5052818501
291	0.5052326288
292	0.5051911196
293	0.5051464332
294	0.5051057961
295	0.5050678246
296	0.5050338412
297	0.5049909596
298	0.5049418441
299	0.504885706
300	0.5048517981
301	0.5047936834
302	0.5047503368
303	0.504712227
304	0.5046739844
305	0.5046356639
306	0.5045861769
307	0.5045222356
308	0.5044912839
